"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"e:\cauc_museum\CAUC_Booking\src\components\header\header.vue", "Vue", 14, 0, 0, 0, 1, 15
"e:\cauc_museum\CAUC_Booking\src\components\header\staticHeader.vue", "Vue", 17, 0, 0, 0, 0, 17
"e:\cauc_museum\CAUC_Booking\src\components\lazyImg\lazyImg.vue", "Vue", 81, 0, 0, 0, 5, 86
"e:\cauc_museum\CAUC_Booking\src\components\loading\uploadLoading.vue", "Vue", 186, 0, 0, 0, 43, 229
"e:\cauc_museum\CAUC_Booking\src\components\messageBox\messageBox.vue", "Vue", -1, 0, 0, 0, 0, -1
"e:\cauc_museum\CAUC_Booking\src\components\picker\picker.vue", "Vue", -1, 0, 0, 0, 0, -1
"e:\cauc_museum\CAUC_Booking\src\components\toast\CustomToast.vue", "Vue", 0, 0, 0, 0, 1, 1
"e:\cauc_museum\CAUC_Booking\src\components\transiton\config.js", "JavaScript", 0, 1, 0, 0, 0, 1
"e:\cauc_museum\CAUC_Booking\src\components\transiton\fadeTransiton.vue", "Vue", 75, 0, 0, 0, 7, 82
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadImg.vue", "Vue", 81, 0, 0, 0, 6, 87
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadPdf.vue", "Vue", 72, 0, 0, 0, 4, 76
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadtest.vue", "Vue", -30, 0, 0, 0, -3, -33
"e:\cauc_museum\CAUC_Booking\src\layout\commonLayout\commonLayout.vue", "Vue", 10, 0, 0, 0, 0, 10
"e:\cauc_museum\CAUC_Booking\src\layout\indexLayout\indexLayout.vue", "Vue", 21, 0, 0, 0, 1, 22
"e:\cauc_museum\CAUC_Booking\src\pages.json", "JSON", 0, 0, 13, 0, -1, 12
"e:\cauc_museum\CAUC_Booking\src\pages\guide\guide.vue", "Vue", 0, 0, 0, 0, 1, 1
"e:\cauc_museum\CAUC_Booking\src\pages\index\index.vue", "Vue", -35, 0, 0, 0, 1, -34
"e:\cauc_museum\CAUC_Booking\src\pages\notice\notice.vue", "Vue", 17, 0, 0, 0, 3, 20
"e:\cauc_museum\CAUC_Booking\src\pages\order\order.vue", "Vue", -3, 0, 0, 0, 0, -3
"e:\cauc_museum\CAUC_Booking\src\pages\order\order_applicant.vue", "Vue", -157, 0, 0, 0, -5, -162
"e:\cauc_museum\CAUC_Booking\src\pages\order\order_detail.vue", "Vue", 229, 0, 0, 0, 10, 239
"e:\cauc_museum\CAUC_Booking\src\pages\order\order_status.vue", "Vue", 61, 0, 0, 0, 4, 65
"e:\cauc_museum\CAUC_Booking\src\pages\user\user.vue", "Vue", 4, 0, 0, 0, 0, 4
"e:\cauc_museum\CAUC_Booking\src\store\modules\user\user.js", "JavaScript", 0, 4, 0, 1, 0, 5
"e:\cauc_museum\CAUC_Booking\src\utils\config\index.js", "JavaScript", 0, -1, 0, 0, 0, -1
"e:\cauc_museum\CAUC_Booking\src\utils\fn\common.js", "JavaScript", 0, 17, 0, 1, 1, 19
"e:\cauc_museum\CAUC_Booking\src\utils\fn\index.js", "JavaScript", 0, -100, 0, -10, -10, -120
"Total", "-", 641, -79, 13, -8, 69, 636