"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Prisma", "SQL", "Properties", "Markdown", "JavaScript", "YAML", "comment", "blank", "total"
"e:\cauc_museum\cauc_admin_backend\.env", "Properties", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 6, 22
"e:\cauc_museum\cauc_admin_backend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"e:\cauc_museum\cauc_admin_backend\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\cauc_museum\cauc_admin_backend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 21, 74
"e:\cauc_museum\cauc_admin_backend\demo1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 3, 20
"e:\cauc_museum\cauc_admin_backend\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\cauc_museum\cauc_admin_backend\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 6, 0, 94
"e:\cauc_museum\cauc_admin_backend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6881, 0, 784, 7665
"e:\cauc_museum\cauc_admin_backend\prisma\migrations\20231016140709_y\migration.sql", "SQL", 0, 0, 0, 0, 84, 0, 0, 0, 0, 10, 16, 110
"e:\cauc_museum\cauc_admin_backend\prisma\migrations\20231016141648_y\migration.sql", "SQL", 0, 0, 0, 0, 6, 0, 0, 0, 0, 12, 4, 22
"e:\cauc_museum\cauc_admin_backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 105, 0, 0, 0, 0, 0, 34, 14, 153
"e:\cauc_museum\cauc_admin_backend\prisma\sd.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 10, 57
"e:\cauc_museum\cauc_admin_backend\src\app.controller.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\cauc_museum\cauc_admin_backend\src\app.module.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"e:\cauc_museum\cauc_admin_backend\src\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\cauc_museum\cauc_admin_backend\src\decorator\admin.decorator.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\cauc_museum\cauc_admin_backend\src\decorator\auth.decorator.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"e:\cauc_museum\cauc_admin_backend\src\decorator\user.decorator.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\cauc_museum\cauc_admin_backend\src\dto\login.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\cauc_museum\cauc_admin_backend\src\error\admin\admin.error.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"e:\cauc_museum\cauc_admin_backend\src\error\admin\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\cauc_admin_backend\src\error\file\file.error.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 5, 37
"e:\cauc_museum\cauc_admin_backend\src\error\file\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\cauc_admin_backend\src\error\guide\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 10
"e:\cauc_museum\cauc_admin_backend\src\error\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\cauc_museum\cauc_admin_backend\src\error\order\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\cauc_admin_backend\src\error\order\order.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 8
"e:\cauc_museum\cauc_admin_backend\src\error\record\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\cauc_admin_backend\src\error\record\record.error.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"e:\cauc_museum\cauc_admin_backend\src\error\verify\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\cauc_admin_backend\src\error\verify\verify.error.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\cauc_museum\cauc_admin_backend\src\guard\admin.guard.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\cauc_museum\cauc_admin_backend\src\guard\super.guard.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\cauc_museum\cauc_admin_backend\src\main.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 4, 17
"e:\cauc_museum\cauc_admin_backend\src\model\admin.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"e:\cauc_museum\cauc_admin_backend\src\model\guide.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 9, 41
"e:\cauc_museum\cauc_admin_backend\src\model\order.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"e:\cauc_museum\cauc_admin_backend\src\modules\auth\auth.controller.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 10, 63
"e:\cauc_museum\cauc_admin_backend\src\modules\auth\auth.module.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"e:\cauc_museum\cauc_admin_backend\src\modules\auth\auth.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 13, 54
"e:\cauc_museum\cauc_admin_backend\src\modules\date\date.controller.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 2, 33
"e:\cauc_museum\cauc_admin_backend\src\modules\date\date.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\date\date.service.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\cauc_museum\cauc_admin_backend\src\modules\file-upload\file-upload.controller.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 12, 121
"e:\cauc_museum\cauc_admin_backend\src\modules\file-upload\file-upload.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\guide\guide.controller.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 9, 40
"e:\cauc_museum\cauc_admin_backend\src\modules\guide\guide.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\cauc_museum\cauc_admin_backend\src\modules\guide\guide.service.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 13, 71
"e:\cauc_museum\cauc_admin_backend\src\modules\order-item\order-item.controller.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 7, 36
"e:\cauc_museum\cauc_admin_backend\src\modules\order-item\order-item.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\order-item\order-item.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 6, 44
"e:\cauc_museum\cauc_admin_backend\src\modules\order\order.controller.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 12, 14, 116
"e:\cauc_museum\cauc_admin_backend\src\modules\order\order.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\order\order.service.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 99, 25, 285
"e:\cauc_museum\cauc_admin_backend\src\modules\prisma\prisma.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\cauc_museum\cauc_admin_backend\src\modules\prisma\prisma.service.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\cauc_museum\cauc_admin_backend\src\modules\record\record.controller.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 11, 47
"e:\cauc_museum\cauc_admin_backend\src\modules\record\record.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\record\record.service.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 4, 13, 78
"e:\cauc_museum\cauc_admin_backend\src\modules\router\router.controller.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"e:\cauc_museum\cauc_admin_backend\src\modules\router\router.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\router\router.service.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\cauc_museum\cauc_admin_backend\src\modules\test\test.controller.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\cauc_museum\cauc_admin_backend\src\modules\test\test.module.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\cauc_museum\cauc_admin_backend\src\modules\user\user.controller.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 11, 55
"e:\cauc_museum\cauc_admin_backend\src\modules\user\user.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\cauc_museum\cauc_admin_backend\src\modules\user\user.service.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 13, 15, 113
"e:\cauc_museum\cauc_admin_backend\src\pipe\number-arr-parse.pipe.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\cauc_museum\cauc_admin_backend\src\pipe\string-arr-parse.pipe.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\cauc_museum\cauc_admin_backend\src\strategy\jwt.strategy.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"e:\cauc_museum\cauc_admin_backend\src\utils\config\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\cauc_museum\cauc_admin_backend\src\utils\enum\http.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 10, 0, 22
"e:\cauc_museum\cauc_admin_backend\src\utils\enum\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\cauc_museum\cauc_admin_backend\src\utils\enum\order.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 1, 18
"e:\cauc_museum\cauc_admin_backend\src\validator\admin.validator.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 16, 88
"e:\cauc_museum\cauc_admin_backend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"e:\cauc_museum\cauc_admin_backend\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\cauc_museum\cauc_admin_backend\tsconfig.build.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5
"e:\cauc_museum\cauc_admin_backend\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 21, 112, 1466, 105, 90, 11, 51, 38, 6881, 293, 1142, 10210